"thesis_id","thesis_topic_in_english"
"193","UX EVALUATION OF NATIONAL SOCIAL SECURITY AGENCY FOR EMPLOYMENT USING USER EXPERIENCE QUESTIONNAIRE AND HEURISTIC EVALUATION"
"194","INCREASING BRAND LOYALTY THROUGH THE TEMPO ONLINE COMMUNITY: THE USEFUL ROLE PROVIDED BY THE TEMPO SPORTS AND SCIENCE TECHNOLOGY COMMUNITY."
"195","ANALYSIS OF TEMPERATURE READING ERRORS IN THE FURNACE BOILER USING OEE RCA AND LCCA METHODS AT PLTU ABC LAMPUNG"
"196","THE ROLE OF SOCIAL MEDIA MARKETING IN BUILDING SMARTPHONE BRAND LOYALTY"
"197","OPTIMIZATION OF ENGINE AND TRANSMISSION COMPONENT LIFETIME IN HD 785-7 THROUGH MONITORING CONDITION PREDICTIVE AND PREVENTIVE MAINTENANCE AT PT HASNUR RIUNG SINERGI"
"198","SWOT ANALYSIS IN GREEN GROW ORGANIC FERTILIZER MARKETING STRATEGY"
"199","RISK MANAGEMENT DESIGN FOR CONTROLLING QUALITY USING FMEA, RCA, MTTF, MTTR, AND PICA METHOD AT PT. XYZ"
"200","QUALITY IMPROVEMENT OF BEARING PRODUCTION USING PDCA, OEE AND CBA IN PT XYZ"
"201","IMPLEMENTATION OF RECONCILIATION AND PAYMENT MANAGEMENT OF THIRD-PARTY FUNDS FOR BALANCE ADDITIONS AND BILL PAYMENTS VIA BANK"
"202","NEW RANCAKASUMBA SUBSTATION INFORMATION SYSTEM BASED ON MOBILE APPLICATION"
"203","EVALUATION OF USER EXPERIENCE ON PELITA AIR APPLICATION USING DESIGN THINKING METHOD"
"204","QUALITY IMPROVEMENT OF DIAPER PRODUCT USING QUALITY CONTROL CIRCLE ANALYSIS AT PT. XYZ"
"205","OPTIMIZING CAPACITOR PRODUCT QUALITY: A COMPREHENSIVE ANALYSIS AND ENHANCEMENT APPROACH AT PT PANASONIC INDUSTRIAL DEVICES BATAM"
"206","IMPROVEMENT PERFORMANCE OF CNC STEEL ANGLE MACHINE WITH MTBF, MTTR AND FMEA METHODS AT PT XYZ"
"207","THE EFFECT OF RESEARCH AND DEVELOPMENT (RND) AND ENVIRONMENTAL COST ON INDONESIAN MANUFACTURING FIRM PERFORMANCE (PERIOD OF 2018-2022)"
"208","EVALUATION OF USER EXPERIENCE ON PELITA AIR APPLICATION USING DESIGN THINKING METHOD"
"209","WEB-BASED APPLICATION DESIGN FOR E-RECRUITMENT IN TARAKAN HOSPITAL JAKARTA"
"210","THE INFLUENCE OF E-RECRUITMENT METHODS IN THE DIGITALIZATION ERA ON THE INTENTION OF GENERATION Z JOB APPLICANTS"
"211","ANALYSIS OF FACTORS AFFECTING PUBLIC INTEREST IN FINANCIAL TECHNOLOGY USING THE UTAUT METHOD (UNIFIED THEORY OF ACCEPTANCE AND USE OF TECHNOLOGY) (CASE STUDY: M-BANKING USERS IN CENTRAL KALIMANTAN)"
"212","THE ANALYSIS OF WORKING POSITIONS AND RISK OF LOW BACK PAIN DISORDERS IN SIDE DUMP TRAILER OPERATORS OF MINING CONTRACTORS"
"213","WEB-BASED APPLICATION DESIGN FOR E-RECRUITMENT IN TARAKAN HOSPITAL JAKARTA"
"214","THE INFLUENCE OF SERVICE QUALITY AND PRICE ON PASSENGER LOYALTY MEDIATED BY SATISFACTION: CASE STUDY ON LOW COST CARRIERS IN INDONESIA"
"215","ANALYSIS OF THE PERFORMANCE OF HEAVY CONSTRUCTION CIVIL ENGINEERING COMPANIES AGAINST FINANCIAL DISTRESS BEFORE AND DURING THE COVID-19 PANDEMIC"
"216","FACTORS THAT DETERMINE THE DECISION TO BUY PRODUCTS BY PRE-ORDER (CASE STUDY ON THE K-POP GROUP CONSUMERS: NCT)"
"217","WAREHOUSE SYSTEM DIGITALIZATION TECHNOLOGY DESIGN PT. SAE DALLETTA TARRU"
"218","QUALITY IMPROVEMENT OF BEARING PRODUCTION USING PDCA, OEE AND CBA IN PT XYZ"
"219","WEB-BASED APPLICATION DESIGN FOR E-RECRUITMENT IN TARAKAN HOSPITAL JAKARTA"
"220","ANALYSIS OF THE INFLUENCE OF PERCEIVED USEFULNESS, PERCEIVED EASE OF USE AND BRAND IMAGE ON WORKERS' INTEREST IN USING PAYLATER IN DKI JAKARTA"
"221","ANALYSIS AND PROPOSAL OF PREVENTIVE MAINTENANCE ON CRITICAL COMPONENTS OF DUMP TRUCK UNITS AT PT XYZ"
"222","THE EFFECT OF LIQUIDITY, LEVERAGE, PROFITABILITY AND STOCK PRICE ON COMPANY VALUE WITH PROFIT GROWTH AS A MODERATING VARIABLE (EMPIRICAL STUDY ON PROPERTY AND REAL ESTATE SECTOR COMPANIES LISTED ON THE INDONESIAN STOCK EXCHANGE PERIOD 2018-2022)"
"223","THE IMPACT OF E-SERVICE QUALITY AND CUSTOMER SATISFACTION ON CUSTOMER BEHAVIOR IN ONLINE SHOPPING APPLICATIONS IN INDONESIA"
"224","ANALYSIS AND DESIGN OF STRUCTURED DATA IMPORT ON THE CX DASHBOARD WEBSITE TO IMPROVEDATA SECURITY AT PT. TELEKOMUNIKASI INDONESIA"
"225","WEB-BASED MONITORING AND EVALUATION SYSTEM DESIGN FOR PERFORMANCE ACHIEVEMENTS IN THE FACULTY OF PSYCHOLOGY UNIVERSITAS INDONESIA"
"226","USABILITY ANALYSIS AND UI/UX IMPROVEMENTS OF MUSEUM NASIONAL WEBSITE USING HEURISTIC EVALUATION METHODOLOGY"
"227","USABILITY ANALYSIS AND UI/UX IMPROVEMENTS OF MUSEUM NASIONAL WEBSITE USING HEURISTIC EVALUATION METHODOLOGY"
"228","SYSTEM DESIGN OF RECORDS MAINTENANCE HYDRAULIC PRESS MACHINE APPLICATION IN PT. DASA WINDU AGUNG HEADLINING PRODUCTION LINE"
"229","THE EFFECT OF SOCIAL MEDIA INFLUENCER ""TASYA FARASYA"", BRAND IMAGE AND ELECTRONIC WORD OF MOUTH (E-WOM) ON PURCHASE INTENTION OF GOLDEN BLACK COFFEE"
"230","COMPARING THE USER EXPERIENCE OF MOBILE BANKING APPLICATIONS USING SYSTEM USABILITY SCALE AND USABILITY TESTING"
"231","WEBSITE BASED APPLICATION DEVELOPMENT ONLINE CURRICULUM AT ARGO CIPTA PERSADA"
"232","DETECTION OF WASTE COOKING OIL QUALITY USING FUZZY LOGIC"
"233","CORRECTIVE EFFORTS FOR EMPLOYEES EXPERIENCED SYMPTOMSOF MUSCULOSKELETAL DISORDERS AT PT PLN NUSANTARA POWERUPDK KENDARI USING THE NBM AND ROSA METHODS"
"234","THE IMPACT OF E-SERVICE QUALITY AND CUSTOMER SATISFACTION ON CUSTOMER BEHAVIOR IN ONLINE SHOPPING APPLICATIONS IN INDONESIA"
"235","WEB AND MOBILE BASED SEDEKAH SAMPAH DIGITAL APPLICATION AT PT INDOCEMENT TUNGGAL PRAKARSA TBK"
"236","THE INFLUENCE OF ONLINE CUSTOMER REVIEWS AND INFLUENCER REVIEWS ON PURCHASE INTENTION OF SKINCARE PRODUCTS IN GENERATION Z IN JAVA WITH TRUST AS A MODERATION VARIABLE"
"237","THE IMPACT OF CURRENT RATIO, DEBT TO EQUITY RATIO, AND FIXED ASSET TURNOVER TOWARDS FINACIAL PERFORMANCE OF INFRASTRUCTURE COMPANIES LISTED ON INDONESIA STOCK EXCHANGE IN 2020-2022"
"238","INVENTORY CONTROL USING THE EOQ (ECONOMY ORDER QUANTITY) METHOD AT PRAMUDYA WHOLESALE"
"239","EFFECT OF AUDIT FEE, AUDIT TENURE, AND ROTATION AUDIT ON AUDIT QUALITY (STUDY ON MANUFACTURING COMPANY LISTED ON THE INDONESIA STOCK EXCHANGE YEAR 2019-2022)"
"240","USABILITY ANALYSIS AND UI/UX IMPROVEMENTS OF MUSEUM NASIONAL WEBSITE USING HEURISTIC EVALUATION METHODOLOGY"
"241","ANALYSIS AND EVALUATION OF STRESS MANAGEMENT ON THE LEVEL OF EMPLOYEE JOB SATISFACTION OF PT MEINHARDT EPCM INDONESIA"
"242","DEVELOPMENT OF WEB-BASED REGIONAL LIBRARY INFORMATION SYSTEM IN DAIRI DISTRICT"
"243","THE EFFECT OF GREEN ACCOUNTING, CORPORATE SOCIAL RESPONSIBILITY, AND GOOD CORPORATE GOVERNANCE ON THE PROFITABILITY OF MINING COMPANIES IN THE INDONESIA STOCK EXCHANGE IN 2019-2021"
"244","OPTIMIZATION BOOKING MANAGEMENT OF BADMINTON COURT IN JOGJA BADMINTON COMMUNITY USING MOBILE-BASED FIFO METHOD"
"245","THE INFLUENCE OF ONLINE CUSTOMER REVIEWS AND INFLUENCER REVIEWS ON PURCHASE INTENTION OF SKINCARE PRODUCTS IN GENERATION Z IN JAVA WITH TRUST AS A MODERATION VARIABLE"
"246","ANALYSIS OF FACTORS CAUSING A DECLINE IN THE NUMBER OF CUSTOMERS AT XYZ CAKE INGREDIENTS STORE USING CSI AND IPA METHOD."
"247","IMPLEMENTATION OF ADAPTIVE NEURO FUZZY INFERENCE SYSTEM (ANFIS) FOR PREDICTING TEMPERATURE IN DIENG PLATEAU, CENTRAL JAVA"
"248","ANALYSIS OF STRESS LEVEL OF CONSTRUCTION SERVICE EMPLOYEES USING PDCA AND FMEA IN JAKARTA"
"249","THE EFFECT OF PROFIT MANAGEMENT AND TAX AVOIDANCE ON COMPANY VALUE WITH AUDIT QUALITY AS A MODERATION VARIABLE IN FOOD AND BEVERAGE COMPANIES FOR THE 2020-2022 PERIOD"
"250","ANALYSIS AND DESIGN OF HUMAN RESOURCE MANAGEMENT SYSTEM AT PT DARWIS FAMA MAFA"
"251","DETECTION OF WASTE COOKING OIL QUALITY USING FUZZY LOGIC"
"252","OPTIMIZATION OF BIODIESEL FUEL USING THE OVERALL EQUIPMENT EFFECTIVENESS (OEE) METHOD IN PLN IP UPDK MAHAKAM"
"253","CRITICAL PATH FOR DAILY MONITORING ACTIVITY IN SOFTWARE DEVELOPMENT PROJECT"
"254","DESIGN OF SALES VISIT MOBILE APPLICATION AT PT CYBERINDO ADITAMA (CBN)"
"255","THE INFLUENCE OF E-RECRUITMENT METHODS IN THE DIGITALIZATION ERA ON THE INTENTION OF GENERATION Z JOB APPLICANTS"
"256","THE IMPACT OF CURRENT RATIO, DEBT TO EQUITY RATIO, AND FIXED ASSET TURNOVER TOWARDS FINACIAL PERFORMANCE OF INFRASTRUCTURE COMPANIES LISTED ON INDONESIA STOCK EXCHANGE IN 2020-2022"
"257","THE EFFECT OF ENVIRONMENTAL PERFORMANCE, OWNERSHIP STRUCTURES, PROFITABILITY, AND LEVERAGE ON CORPORATE SOCIAL RESPONSIBILITY DISCLOSURE"
"258","COMPARATIVE ANALYSIS OF SALES DATA AT PT PERKEBUNAN NUSANTARA VIII USING MICROSOFT POWER BI WITH TABLEAU"
"259","OPTIMIZATION OF ENGINE AND TRANSMISSION COMPONENT LIFETIME IN HD 785-7 THROUGH MONITORING CONDITION PREDICTIVE AND PREVENTIVE MAINTENANCE AT PT HASNUR RIUNG SINERGI"
"260","THE INFLUENCE OF CONSUMER AND INFLUENCER REVIEWS ON INTENTION TO PURCHASE FASHION PRODUCTS IN E-COMMERCE WITH TRUST AS MODERATION"
"261","DESIGN OF RINSING PROCESS JIG TO INCREASE PRODUCTION OF PLASTIC COMPONENT PAINTING BY RULA METHOD AT PT XYZ"
"262","THE MODERATION ROLE OF VALUE CONSCIOUSNESS ON THE RELATIONSHIP OF PERCEIVED RISK AND CONSUMER BEHAVIOR: A STUDY ON TIMELESS FASHION PRODUCTS"
"263","ANALYSIS AND DESIGN OF SINGLE VIEW DASHBOARD WEB-BASED APPLICATION AT PT. BNI LIFE INSURANCE"
"264","THE INFLUENCE OF SALES PROMOTION, ATTRACTIVENESS OF INTERNET ADVERTISING, AND APPS QUALITY FEATURES ON IMPULSE BUYING DECISIONS FOR BATIK FASHION PRODUCTS AT TIKTOK SHOP IN THE JABODETABEK AREA"
"265","DESIGN OF SALES VISIT MOBILE APPLICATION AT PT CYBERINDO ADITAMA (CBN)"
"266","EFFECTIVENESS OF E-TRAINING, E-LEADERSHIP, AND WORK-LIFE BALANCE ON EMPLOYEE PERFORMANCE AT PT KAYU PERMATA"
"267","BALANCE DIET RECOMENDATION SYSTEM USING FUZZY LOGIC"
"268","ANALYSIS OF COST VARIANCE FOR PROFITABILITY OPTIMIZATION IN THE SOLAR MODULE INDUSTRY USING COPQ MODELING (CASE STUDY: PT XYZ BANDUNG)"
"269","THE INFLUENCE OF CONSUMER AND INFLUENCER REVIEWS ON INTENTION TO PURCHASE FASHION PRODUCTS IN E-COMMERCE WITH TRUST AS MODERATION"
"270","THE INFLUENCE OF PERCEIVED E-COMMERCE HOST ATTRIBUTES, SCARCITY, AND IMMERSION ON INVOLVEMENT AND ITS IMPACT ON IMPULSE PURCHASE BEHAVIOR OF LOCAL SKINCARE PRODUCTS IN JABODETABEK."
"271","ANALYSIS OF USER EXPERIENCE ON THE SI KASEP APPLICATION USING THE USER EXPERIENCE QUESTIONNAIRE METHOD"
"272","ANALYSIS AND DESIGN OF WEBSITE-BASED ""TRACEABILITY TOOLS"" MASTER DATA MANAGEMENT INFORMATION SYSTEMS AT PT. ASTRA OTOPARTS TBK WINTEQ DIVISION"
"273","WEBSITE BASED APPLICATION DEVELOPMENT ONLINE CURRICULUM AT ARGO CIPTA PERSADA"
"274","SWOT ANALYSIS IN GREEN GROW ORGANIC FERTILIZER MARKETING STRATEGY"
"275","ANALYSIS THE INFLUENCE OF USER-GENERATED CONTENT ON PURCHASING DECISIONS AMONG METROSEXUALS"
"276","ANALYSIS OF USER EXPERIENCE ON THE PAHAMIFY APPLICATION WITH DESIGN THINKING METHODOLOGY"
"277","FACTORS INFLUENCING EMPLOYEE TURNOVER INTENTION AT PT PAMAPERSADA NUSANTARA, BAYA DISTRICT"
"278","FACTORS THAT INFLUENCE THE DECISION TO PURCHASE HALAL COSMETIC PRODUCTS IN GEN Z"
"279","ANALYSIS OF STRESS LEVEL OF CONSTRUCTION SERVICE EMPLOYEES USING PDCA AND FMEA IN JAKARTA"
"280","INCREASING PRODUCTION CAPACITY BY REDUCING INVESTMENT COSTS FOR THE MANUFACTURE AND RETROFITTING OF MACHINERY AT PT. XYZ"
"281","ANALYSIS OF COST VARIANCE FOR PROFITABILITY OPTIMIZATION IN THE SOLAR MODULE INDUSTRY USING COPQ MODELING (CASE STUDY: PT XYZ BANDUNG)"
"282","ANALYSIS OF USER EXPERIENCE ON THE SI KASEP APPLICATION USING THE USER EXPERIENCE QUESTIONNAIRE METHOD"
"283","THE INFLUENCE OF INFORMATION CREDIBILITY AND LOCAL SKINCARE PRODUCT REVIEWS ON TIKTOK SOCIAL MEDIA ON GENERATION Z'S PURCHASE INTENTION"
"284","COMPARATIVE ANALYSIS OF SALES DATA AT PT PERKEBUNAN NUSANTARA VIII USING MICROSOFT POWER BI WITH TABLEAU"
"285","DESIGN OF CUSTOMER SERVICE OPERATIONAL TICKETING SYSTEM AT PT. TELEMEDIA DINAMIKA SARANA"
"286","ANALYSIS OF USER EXPERIENCE REGARDING THE EFFECTIVENESS OF USING GOOGLE CLASSROOM AS A LEARNING MEDIA SUPPORT"
"287","THE INFLUENCE OF ARTIFICIAL INTELLIGENCE INTEGRATION ON EMPLOYEE PERFORMANCE AND WORK ENGAGEMENT IN THE BANKING SERVICE INDUSTRY IN JAKARTA: THE MODERATING ROLE OF LEADERSHIP CHANGE"
"288","ANALYSIS OF USER EXPERIENCE ON THE PAHAMIFY APPLICATION WITH DESIGN THINKING METHODOLOGY"
"289","THE EFFECT OF ENVIRONMENTAL, SOCIAL, AND GOVERNANCE (ESG) DISCLOSURE AND FINANCIAL PERFORMANCE ON FIRMS VALUE (STUDY FROM LQ45 INDEX) FOR THE PERIOD OF 2018-2022"
"290","ANALYSIS AND DESIGN OF TRANSACTION MANAGEMENT INFORMATION SYSTEMS FOR MANDEH BATIK SUBLIMASI SMES"
"291","THE IMPACT OF THE COVID-19 PANDEMIC ON THE DETERMINANTS OF THE COMPANY'S CASH HOLDING: A CASE STUDY OF THE HEALTHCARE SECTOR LISTED ON THE INDONESIAN STOCK EXCHANGE"
"292","FACTORS THAT INFLUENCE THE DECISION TO PURCHASE HALAL COSMETIC PRODUCTS IN GEN Z"
"293","THE EFFECTS OF GOOD CORPORATE GOVERNANCE (GCG), LEVERAGE, AND PROFITABILITY ON FINANCIAL DISTRESS IN TRANSPORTATION COMPANIES LISTED IN THE INDONESIA STOCK EXCHANGE PERIOD 2018-2022"
"294","EVALUATION OF E-FACTUR WEB SYSTEM IMPLEMENTATION ON REPORTING PERIOD VAT SPT SYSTEMS IN JAVA ISLAND USING THE UNIFIED THEORY OF ACCEPTANCE AND USE OF TECHNOLOGY (UTAUT) MODEL"
"295","ANALYSIS OF IMPLEMENTATION BRI VIRTUAL ACCOUNTS IN CASH MANAGEMENT AT BAWASLU USING THE UTAUT APPROACH"
"296","THE INFLUENCE OF ONLINE CUSTOMER REVIEWS AND INFLUENCER REVIEWS ON PURCHASE INTENTION OF SKINCARE PRODUCTS IN GENERATION Z IN JAVA WITH TRUST AS A MODERATION VARIABLE"
"297","ENHANCING OPERATIONAL EFFICIENCY IN ENERGY MONITORING AND CONTROL: A FUZZY LOGIC APPROACH AT PT. AKEBONO BRAKE ASTRA INDONESIA"
"298","WEBSITE BASED APPLICATION DEVELOPMENT ONLINE CURRICULUM AT ARGO CIPTA PERSADA"
"299","REDUCTION OF MUSCULOSKELETAL DISORDERS (MSDS) IN PUSHPULL TESTING TECHNICIANS USING THE NBM, RULA AND REBA METHODS AT PT TUVNORD"
"300","CRITICAL PATH FOR DAILY MONITORING ACTIVITY IN SOFTWARE DEVELOPMENT PROJECT"
"301","THE INFLUENCE OF E-RECRUITMENT METHODS IN THE DIGITALIZATION ERA ON THE INTENTION OF GENERATION Z JOB APPLICANTS"
"302","THE INFLUENCE OF ARTIFICIAL INTELLIGENCE INTEGRATION ON EMPLOYEE PERFORMANCE AND WORK ENGAGEMENT IN THE BANKING SERVICE INDUSTRY IN JAKARTA: THE MODERATING ROLE OF LEADERSHIP CHANGE"
"303","THE EFFECT OF GREEN ACCOUNTING, CORPORATE SOCIAL RESPONSIBILITY, AND GOOD CORPORATE GOVERNANCE ON THE PROFITABILITY OF MINING COMPANIES IN THE INDONESIA STOCK EXCHANGE IN 2019-2021"
"304","THE MODERATION ROLE OF VALUE CONSCIOUSNESS ON THE RELATIONSHIP OF PERCEIVED RISK AND CONSUMER BEHAVIOR: A STUDY ON TIMELESS FASHION PRODUCTS"
"305","FIFO METHOD IMPLEMENTATION ON AGRICULTURAL COMMODITIES ORDER MANAGEMENT"
"306","CRITICAL PATH FOR DAILY MONITORING ACTIVITY IN SOFTWARE DEVELOPMENT PROJECT"
"307","THE ROLE OF SOCIAL MEDIA MARKETING IN BUILDING SMARTPHONE BRAND LOYALTY"
"308","THE INFLUENCE OF CONSUMER AND INFLUENCER REVIEWS ON INTENTION TO PURCHASE FASHION PRODUCTS IN E-COMMERCE WITH TRUST AS MODERATION"
"309","ANALYSIS OF USER EXPERIENCE REGARDING THE EFFECTIVENESS OF USING GOOGLE CLASSROOM AS A LEARNING MEDIA SUPPORT"
"310","EVALUATION OF USER EXPERIENCE FOR DASHBOARD PROJECT MANAGEMENT INFORMATION SYSTEM WITHIN THE PROJECT OPERATION UNIT OF A TELECOMMUNICATION COMPANY"
"311","PREDICTIVE ANALYTICS APPLICATION TO ENHANCE SUPPLY CHAIN EFFICIENCY AT PT. CITRA INTI GARDA SENTOSA"
"312","DEVELOPMENT OF A WEB-BASED ARTIST PLATFORM APPLICATION USING REACT, TYPESCRIPT, EXPRESS, AND MONGODB"
"313","FACTORS INFLUENCING EMPLOYEE TURNOVER INTENTION AT PT PAMAPERSADA NUSANTARA, BAYA DISTRICT"
"314","THE MODERATION ROLE OF VALUE CONSCIOUSNESS ON THE RELATIONSHIP OF PERCEIVED RISK AND CONSUMER BEHAVIOR: A STUDY ON TIMELESS FASHION PRODUCTS"
"315","SENTIMENT ANALYSIS FOR DETERMINING THE REPUTATION OF POLITICAL FIGURES BASED ON ONLINE MASS MEDIA USING SUPPORT VECTOR MACHINE"
"316","ANALYSIS OF THE IMPACTS OF THE IMPLEMENTATION OF PSAK 73 ON PROFITABILITY RATIOS, SOLVENCY RATIOS, AND INCOME TAX EXPENSE OF FINANCE SECTOR COMPANIES LISTED ON THE INDONESIA STOCK EXCHANGE (IDX)"
"317","ANALYSIS OF TEMPERATURE READING ERRORS IN THE FURNACE BOILER USING OEE RCA AND LCCA METHODS AT PLTU ABC LAMPUNG"
"318","ANALYSIS OF TEMPERATURE READING ERRORS IN THE FURNACE BOILER USING OEE RCA AND LCCA METHODS AT PLTU ABC LAMPUNG"
"319","OPTIMIZING BATTERY MAINTENANCE AND CELL TRACKING: A COMPREHENSIVE APPROACH USING REBA, PDCA, AND HIRADC - A CASE STUDY OF PT GMF AEROASIA TBK STATION BATTERY SHOP."
"320","THE IMPACT OF THE COVID-19 PANDEMIC ON THE DETERMINANTS OF THE COMPANY'S CASH HOLDING: A CASE STUDY OF THE HEALTHCARE SECTOR LISTED ON THE INDONESIAN STOCK EXCHANGE"
"321","THE INFLUENCE OF E-SERVICE QUALITY ON CUSTOMER LOYALTY THROUGH CUSTOMER SATISFACTION (STUDY ON USERS OF THE GOFOOD APPLICATION AT THE WARUNG BU SRI PONDOK UNGU PERMAI RESTAURANT, NORTH BEKASI, WEST JAVA)"
"322","THE EFFECTS OF GOOD CORPORATE GOVERNANCE (GCG), LEVERAGE, AND PROFITABILITY ON FINANCIAL DISTRESS IN TRANSPORTATION COMPANIES LISTED IN THE INDONESIA STOCK EXCHANGE PERIOD 2018-2022"
"323","DESIGN OF THERMAL ANEMOMETER CALIBRATION WORK PROCEDURE INTEGRATED TO BUSINESS PROCESS IMPROVEMENT AND RISK-BASED THINKING METHODS AT PT ESCO BINTAN INDONESIA"
"324","ANALYSIS OF THE INFLUENCE OF PERCEIVED USEFULNESS, PERCEIVED EASE OF USE AND BRAND IMAGE ON WORKERS' INTEREST IN USING PAYLATER IN DKI JAKARTA"
"325","ANALYSIS AND DESIGN OF SINGLE VIEW DASHBOARD WEB-BASED APPLICATION AT PT. BNI LIFE INSURANCE"
"326","REDESIGN OF DUMP HOPPER BRIDGE WITH FMEA METHODS AND TAGUCHI FOR ENHANCED AVAILABILITY LOAD IN CHF 4 PT XYZ"
"327","THE EFFECT OF ENVIRONMENTAL PERFORMANCE, OWNERSHIP STRUCTURES, PROFITABILITY, AND LEVERAGE ON CORPORATE SOCIAL RESPONSIBILITY DISCLOSURE"
"328","ANALYSIS OF CONSUMER BUYING INTENTION FACTORS USING SEM-PLS TESTING METHOD"
"329","DESIGN OF SALES VISIT MOBILE APPLICATION AT PT CYBERINDO ADITAMA (CBN)"
"330","EVALUATION OF E-FACTUR WEB SYSTEM IMPLEMENTATION ON REPORTING PERIOD VAT SPT SYSTEMS IN JAVA ISLAND USING THE UNIFIED THEORY OF ACCEPTANCE AND USE OF TECHNOLOGY (UTAUT) MODEL"
"331","SENTIMENT ANALYSIS FOR DETERMINING THE REPUTATION OF POLITICAL FIGURES BASED ON ONLINE MASS MEDIA USING SUPPORT VECTOR MACHINE"
"332","THE INFLUENCE OF PERCEIVED INFLUENCE, SOCIAL MEDIA MARKETING ACTIVITIES, BRAND ENGAGEMENT IN SELF CONCEPT, AND BRAND EXPECTED VALUE ON INTENTION TO PURCHASE LOCAL SKINCARE PRODUCTS"
"333","ANALYSIS AND DESIGN OF SINGLE VIEW DASHBOARD WEB-BASED APPLICATION AT PT. BNI LIFE INSURANCE"
"334","ANALYSIS OF PT PESONNA OPTIMA JASA'S MARKETING PLANNING TO IMPROVING COMPANY PERFORMANCE"
"335","OPTIMIZATION OF MAINTENANCE INTERVALS AND OPTIMUM REPLACEMENT TIMES IN VRV AC SYSTEMS USING THE RISK BASED MAINTENANCE (RBM) METHOD AND REPLACEMENT ANALYSIS AT PT. XYZ"
"336","OPTIMIZING BATTERY MAINTENANCE AND CELL TRACKING: A COMPREHENSIVE APPROACH USING REBA, PDCA, AND HIRADC - A CASE STUDY OF PT GMF AEROASIA TBK STATION BATTERY SHOP."
"337","WASTE ELIMINATION OF PRODUCTION PLANNING CONTROL PROCESS IN MILITARY AIRCRAFT MRO INDUSTRY USING VALUE STREAM MAPPING, ROOT CAUSE ANALYSIS, MRP AND CRP"
"338","WASTE ELIMINATION OF PRODUCTION PLANNING CONTROL PROCESS IN MILITARY AIRCRAFT MRO INDUSTRY USING VALUE STREAM MAPPING, ROOT CAUSE ANALYSIS, MRP AND CRP"
"339","WEB AND MOBILE BASED SEDEKAH SAMPAH DIGITAL APPLICATION AT PT INDOCEMENT TUNGGAL PRAKARSA TBK"
"340","ANALYSIS OF THE EFFECT OF COMPANY SIZE, LEVERAGE, PROFITABILITY, SALES GROWTH, MANAGERIAL OWNERSHIP, INSTITUTIONAL OWNERSHIP ON TAX ADVOIDANCE (CASE STUDY OF MANUFACTURING COMPANIES ON THE INDONESIA STOCK EXCHANGE PERIODE 2019-2021)"
"341","WASTE ELIMINATION OF PRODUCTION PLANNING CONTROL PROCESS IN MILITARY AIRCRAFT MRO INDUSTRY USING VALUE STREAM MAPPING, ROOT CAUSE ANALYSIS, MRP AND CRP"
"342","ANALYSIS OF ONLINE IMPULSIVE BUYING IN E-COMMERCE LIVE STREAMING BASED ON S-O-R FRAMEWORK"
"343","PREVENTIVE MAINTENANCE OPTIMIZATION OF MEDIUM VOLTAGE ELECTRIC MOTOR 6.6 KV PROPANE COMPRESSOR AT PT MEDCO EP GAS PROCESSING PLANT USING RCM AND FMEA METHODS"
"344","EVALUATION OF USER EXPERIENCE FOR DASHBOARD PROJECT MANAGEMENT INFORMATION SYSTEM WITHIN THE PROJECT OPERATION UNIT OF A TELECOMMUNICATION COMPANY"
"345","ANALYSIS OF LOCAL SKINCARE PRODUCT PACKAGING DESIGN TO INCREASE CONSUMER PURCHASING INTENTION."
"346","ANALYSIS OF LOGISTICS DISTRIBUTION SYSTEM USING TQM AND LEAN SIX SIGMA METHODS AT PT. LOOKMAN DJAJA LOGISTICS"
"347","ANALYSIS AND DESIGN OF TRANSACTION MANAGEMENT INFORMATION SYSTEMS FOR MANDEH BATIK SUBLIMASI SMES"
"348","ANALYSIS OF FRAUDULENT FINANCIAL STATEMENTS WITH THE PERSPECTIVE OF FRAUD HEXAGON IN MANUFACTURING COMPANIES LISTED ON THE INDONESIA STOCK EXCHANGE 2020-2022"
"349","ANALYSIS AND DESIGN OF INVENTORY INFORMATION SYSTEM ON CV SURYA WAHANA GRAFIKA"
"350","APPLICATION OF VALUE STREAM MAPPING ON WARRANTY CLAIM AFTER SALES SERVICE PROCESS AT PT ASTRA UD TRUCKS"
"351","EVALUATION OF USER EXPERIENCE FOR DASHBOARD PROJECT MANAGEMENT INFORMATION SYSTEM WITHIN THE PROJECT OPERATION UNIT OF A TELECOMMUNICATION COMPANY"
"352","ANALYSIS AND DESIGN OF WEBSITE-BASED ""TRACEABILITY TOOLS"" MASTER DATA MANAGEMENT INFORMATION SYSTEMS AT PT. ASTRA OTOPARTS TBK WINTEQ DIVISION"
"353","ANALYSIS OF THE EFFECT OF LIQUIDITY, PROFITABILITY, FINANCIAL DISTRESS, AND CORPORATE SOCIAL RESPONSIBILITY ON TAX AVOIDANCE IN MANUFACTURING COMPANIES BASED ON INDONESIA STOCK EXCHANGE 2020 - 2022"
"354","USER EXPERIENCE ANALYSIS ON MUSIC STREAMING PLATFORM USING USER EXPERIENCE QUESTIONNAIRE AND PACMAD METHOD ON GEN Z"
"355","USER EXPERIENCE EVALUATION OF PENSION FUND APPLICATION USING SYSTEM USABILITY SCALE AND HEURISTIC EVALUATION"
